-,-,-,-,-
4415279,55,10.5508,23.3948,43
-,-,-,-,-
5253685,56,13.1639,26.6208,42
2021382,56,4.54123,28.1532,42
969356,52,2.11025,27.4165,36
7170013,52,17.2704,23.3837,30
2618503,50,6.57645,24.4245,32
313211,46,0.643077,21.5037,32
-,-,-,-,-
3525006,57,9.40703,28.7505,43
32334,45,0.0454029,26.2362,35
831333,46,2.00099,19.5075,36
-,-,-,-,-
-,-,-,-,-
909219,42,1.86243,18.6516,24
-,-,-,-,-
1267588,55,2.37299,27.2594,43
154092,46,0.421054,22.9871,36
1995813,52,7.91807,24.573,36
5668025,54,14.3927,26.4034,34
-,-,-,-,-
1398857,49,3.4076,24.2771,33
4691710,54,14.0074,26.3122,34
6227205,52,15.0552,24.7003,32
-,-,-,-,-
-,-,-,-,-
909442,52,4.22711,27.8727,36
3917549,54,13.5053,26.1191,38
215990,47,0.409411,24.8402,35
192534,50,0.397422,28.1648,38
-,-,-,-,-
-,-,-,-,-
2063117,52,5.89799,25.9825,36
4626661,55,10.3865,26.9748,39
2309697,52,4.87926,25.7915,36
-,-,-,-,-
827864,53,1.6589,28.7101,41
1118025,49,2.85789,24.2808,35
6540243,54,18.7255,26.3806,36
5727374,54,19.2558,26.1219,36
48447,42,0.152304,23.3,30
7332466,64,23.4721,33.0528,48
2731989,50,7.17216,24.6075,32
539196,51,1.15453,27.3161,39
1430455,49,3.04313,22.9179,35
179689,47,0.304744,25.4753,35
119535,49,0.177688,25.1685,39
-,-,-,-,-
4399444,53,13.1493,25.0994,39
3031922,56,7.10173,28.0748,44
-,-,-,-,-
-,-,-,-,-
7221615,56,20.8854,27.8207,40
152123,41,0.228563,20.6961,29
-,-,-,-,-
484048,50,0.92891,26.1174,36
506538,51,0.925342,25.5453,37
-,-,-,-,-
-,-,-,-,-
508957,45,1.38796,21.7271,31
1828847,57,6.67425,29.0846,43
-,-,-,-,-
5622335,51,16.501,23.6183,31
920623,47,1.67234,22.6228,31
-,-,-,-,-
-,-,-,-,-
5471060,51,12.8079,25.118,31
4579005,53,13.2433,25.3428,37
-,-,-,-,-
557862,44,1.32733,20.6301,30
-,-,-,-,-
188717,49,0.291163,23.8731,37
1373939,56,3.08327,28.7716,46
3440513,48,9.92834,22.0602,30
7622602,57,19.9412,27.7297,41
2184110,54,4.71624,27.598,34
619299,53,1.0002,27.3807,41
68633,42,0.09628,21.7811,28
3951356,57,11.2579,26.9136,43
744209,53,2.12531,28.0517,39
-,-,-,-,-
1900358,49,4.87595,24.1278,31
-,-,-,-,-
158355,44,0.271815,20.8886,32
195222,45,0.320145,22.2905,35
4681483,52,12.0263,25.962,34
-,-,-,-,-
3559259,54,10.5606,26.4619,38
820923,50,2.08823,26.0792,36
-,-,-,-,-
-,-,-,-,-
438960,46,1.06051,20.9652,34
276325,53,0.652548,27.7666,45
751475,50,2.2461,25.0634,34
1263033,49,3.59333,22.9222,35
191601,44,0.486962,21.2678,32
-,-,-,-,-
-,-,-,-,-
